Handle,Name,Followers,In-Game Tier,Partnership Priority,Status,Personalization Hook,Notes
@aantonop,Andreas Antonopoulos,781000,A,SKIP,Researched,"Bitcoin educator - team-run account","IN-GAME A-TIER: Skip. Serious teaching focus."
@rektcapital,Rekt Capital,562000,A,SKIP,Researched,"Chart analysis newsletters - level-headed","IN-GAME A-TIER: Skip. Analytical."
@lopp,Jameson Lopp,525000,A,SKIP,Researched,"Security/privacy expert - technical","IN-GAME A-TIER: Skip. Serious security focus."
@VentureCoinist,Luke Martin,330000,B,HIGH,To Contact,"Active Polymarket commenter/trader - gambling interest","IN-GAME B-TIER: Prime target. Direct prediction market engagement."
@CryptoDonAlt,Crypto Don Alt,703000,B,HIGH,To Contact,"OG trader - smug/sarcastic - high engagement","IN-GAME B-TIER: Perfect for meta competition. Would trash-talk."
@CryptoRover,Crypto Rover,1000000,B,HIGH,To Contact,"Heavy Polymarket poster - bullish degen energy","IN-GAME B-TIER: Top priority. Prime degen fit."
@CroissantEth,Croissant,115000,B,HIGH,To Contact,"Thread writer - Polymarket/election commentary","IN-GAME B-TIER: Meta/hype expert. Would promote virally."
@TrustlessState,David Hoffman,252000,B,MEDIUM-HIGH,To Contact,"Bankless co-host - high energy storyteller","IN-GAME B-TIER: Bankless audience converts well."
@TraderMayne,Trader Mayne,558000,B,MEDIUM-HIGH,To Contact,"Prop trading background - breakout trader","IN-GAME B-TIER: Degen trader fit."
@CredibleCrypto,Credible Crypto,485000,B,MEDIUM-HIGH,To Contact,"Chartist - opinionated trader","IN-GAME B-TIER: Trader community. Prediction-style posts."
@Route2FI,Route2FI,302000,B,MEDIUM-HIGH,To Contact,"Narrative trader - Paradex maxi","IN-GAME B-TIER: Active in narratives. Gaming-friendly."
@EmperorBTC,Emperor,442000,B,MEDIUM,Researched,"BTC chartist - YouTube predictions","IN-GAME B-TIER: Analytical but aware of degen side."
@RyanSAdams,Ryan Sean Adams,273000,B,MEDIUM,Researched,"Bankless host - crypto investor","IN-GAME B-TIER: Professional. Tie to ETH/Base."
@DeFi_Dad,DeFi Dad,177000,B,MEDIUM,Researched,"DeFi educator - podcaster","IN-GAME B-TIER: Open to fun DeFi tools. Easy collab."
@lightcrypto,Light,186000,B,MEDIUM,Researched,"Philosophical/poetic trader","IN-GAME B-TIER: Engaged but introspective."
@waleswoosh,Waleswoosh,171000,B,MEDIUM,Researched,"Moca/networking - business-focused","IN-GAME B-TIER: Promotional bandwidth."
@econoar,Eric Conner,193000,B,SKIP,Researched,"ETH maxi - AI project builder","IN-GAME B-TIER: Skip. Too philosophical/tech-heavy."
@VitalikButerin,Vitalik Buterin,5900000,B,SKIP,Researched,"Ethereum founder - intellectual","IN-GAME B-TIER: Skip. Too serious for gimmicks."
@brian_armstrong,Brian Armstrong,1700000,B,SKIP,Researched,"Coinbase CEO - corporate","IN-GAME B-TIER: Skip. Professional brand. Base bonus."
@nic__carter,Nic Carter,380000,B,SKIP,Researched,"VC/analyst - professional insights","IN-GAME B-TIER: Skip. Serious macro."
@banditxbt,Bandit,46000,C,HIGH,To Contact,"Vibe/degen poster - prediction market wins","IN-GAME C-TIER: Prime lottery pick. Warmest C-tier target."
@StaniKulechov,Stani Kulechov,281000,C,MEDIUM-HIGH,To Contact,"Aave founder - Polymarket fan","IN-GAME C-TIER: Strong DeFi synergy. Would enjoy meta."
@kaiynne,Kain Warwick,145000,C,MEDIUM,To Contact,"Synthetix/Infinex founder - conviction betting","IN-GAME C-TIER: Frame as conviction test."
@rleshner,Robert Leshner,139000,C,MEDIUM,To Contact,"Compound founder - satirical tweets","IN-GAME C-TIER: Light/satirical pitch could land."
@ameensol,Ameen Soleimani,47000,C,MEDIUM,To Contact,"MolochDAO - prediction market love","IN-GAME C-TIER: Edgy pitch. Game theory energy."
@elonmusk,Elon Musk,230000000,C,SKIP,Researched,"Too massive/busy - gaming energy but unrealistic","IN-GAME C-TIER: Skip unless viral traction forces it."
@naval,Naval Ravikant,3000000,C,SKIP,Researched,"Philosophical - rarely promotes","IN-GAME C-TIER: Skip. Unrealistic."
@cdixon,Chris Dixon,896000,C,SKIP,Researched,"a16z partner - professional VC","IN-GAME C-TIER: Skip. Polished brand."
@laurashin,Laura Shin,281000,C,SKIP,Researched,"Unchained podcast - journalistic","IN-GAME C-TIER: Skip. Serious reporter vibe."
@hasufl,Hasu,250000,C,SKIP,Researched,"Flashbots strategist - analytical","IN-GAME C-TIER: Low priority. Research-focused."
